PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
DE01;PARTY;28.9;FINAL;2019-05-27 10:18
DE02;PARTY;15.8;FINAL;2019-05-27 10:18
DE03;PARTY;20.5;FINAL;2019-05-27 10:18
DE04;PARTY;5.5;FINAL;2019-05-27 10:18
DE05;PARTY;11.0;FINAL;2019-05-27 10:18
DE06;PARTY;5.4;FINAL;2019-05-27 10:18
DE07;PARTY;2.2;FINAL;2019-05-27 10:18
DE08;PARTY;0.7;FINAL;2019-05-27 10:18
DE09;PARTY;1.4;FINAL;2019-05-27 10:18
DE10;PARTY;0.3;FINAL;2019-05-27 10:18
DE11;PARTY;0.7;FINAL;2019-05-27 10:18
DE12;PARTY;1.0;FINAL;2019-05-27 10:18
DE13;PARTY;2.4;FINAL;2019-05-27 10:18
DE14;PARTY;0.7;FINAL;2019-05-27 10:18
DE90;PARTY;3.5;FINAL;2019-05-27 10:18
